prev_iso2,movedAE,movedAT,movedAU,movedBE,movedCA,movedCH,movedCN,movedDE,movedDK,movedES,movedFI,movedFR,movedGB,movedHK,movedIE,movedIL,movedIN,movedIT,movedJP,movedKR,movedNL,movedNZ,movedSA,movedSE,movedSG,movedTW,movedUS
"AT",,,,,,,,37,,,,,,,,,,,,,,,,,,,24
"AU",,,,,,,,,,,,,,,,,,,,,,,,,,,161
"BE",,,,,,,,,,,,,,,,,,,,,,,,,,,36
"BR",,,,,,,,,,,,,,,,,,,,,,,,,,,17
"CA",,,,,,,113,17,,,,15,30,,,,,,,,,,,,,,697
"CH",,,,,,,,45,,,,,,,,,,,,,,,,,,,103
"CN",,,17,,123,,,26,,,,,15,92,,,,,72,45,17,,,33,86,248,2993
"DE",,37,,,14,56,25,,,,,,21,,,,,,,,26,,,,,,408
"DK",,,,,,,,,,,,,,,,,,,,,,,,,,,30
"ES",,,,,,,,,,,,,,,,,,,,,,,,,,,24
"FI",,,,,,,,,,,,,,,,,,,,,,,,,,,29
"FR",,,,,21,22,,19,,,,,,,,,,,,,,,,,,,143
"GB",,,13,,29,,20,,,,,15,,,,,,,19,,,,,,,,645
"HK",,,,,,,82,,,,,,,,,,,,,,,,,,,,33
"IE",,,,,,,,,,,,,18,,,,,,,,,,,,,,78
"IL",,,,,,,,,,,,,,,,,,,,,,,,,,,168
"IN",,,,,,,,,,,,,,,,,,,,,,,,,,,582
"IT",,,,,,,,,,,,,,,,,,,,,,,,,,,43
"JP",,,,,14,,81,,,,,,,,,,,,,87,,,,,,38,412
"KR",,,,,,,55,,,,,,,,,,,,48,,,,,,,,774
"NL",,,,,,,16,23,,,,,,,,,,,,,,,,,,,64
"NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,29
"RU",,,,,,,,,,,,,,,,,,,,,,,,,,,28
"SA",,,,,,,,,,,,,,,,,,,,,,,,,,,23
"SE",,,,,,,31,,,,,,,,,,,,,,,,,,,,66
"SG",,,,,,,93,,,,,,,,,,,,,,,,,,,15,132
"TW",,,,,,,275,,,,,,,,,,,,28,,,,,,,,426
"US",15,20,112,24,627,84,2531,258,18,20,15,73,397,38,74,162,545,24,278,621,39,15,41,47,124,420,
"ZA",,,,,,,,,,,,,,,,,,,,,,,,,,,16
